ID	user	tweet	datetime	cleantweet	hashtags	likes	QT	reply	RT	compound	sentiment_category
1850212219880943989	jfjnl	'both #trump and #harris will destroy the #usa infavor of israel vote independent'	2024-10-26 16:25:43	trump harris destroy usa infavor israel vote independent	#trump #harris #usa	0	0	0	0	-0.5423	negative
1850212297110704587	Truth23538578	'Listen. 👇 #harris☠️'	2024-10-26 16:26:01	listen harris	#harris	0	0	0	0	0.0	neutral
1850212347492671806	FSantuccisays	'#voteblue #Kamala #DemocracyNow #cnn #msnbc @maddow @TheView #abc #cbs @nytimes #nbc @billmaher @WhiteHouse #biden #obama #beyonce #vote #Harris #walz'	2024-10-26 16:26:13	voteblue kamala democracy cnn msnbc maddow theview abc cbs nytimes nbc billmaher whitehouse biden obama beyonce vote harris walz	#voteblue #Kamala #DemocracyNow #cnn #msnbc #abc #cbs #nbc #biden #obama #beyonce #vote #Harris #walz	0	0	0	0	0.0	neutral
1850212688174977056	AngelT591366	'WOW! #KamalaHarris supporters are now attacking children. #Election2024 #Democrats #HateSpeech #Trump2024Vance #Trump #Michigan #Pennsylvania'	2024-10-26 16:27:34	wow kamala harris supporters attacking children election democrats hate speech trump vance michigan pennsylvania	#KamalaHarris #Election2024 #Democrats #HateSpeech #Trump2024Vance #Trump #Michigan #Pennsylvania	0	0	0	0	-0.0	neutral
1850212908543656118	LauraLostInTime	'Postcards SENT! Have you made your plan to vote yet? #vote #election #VoteBlue2024ProtectWomensRights #Presidentialelection #VotingMatters https://t.co/CknFk6oBSk'	2024-10-26 16:28:27	postcards sent made plan vote yet election blue protect womens rights presidentialelection voting matters	#vote #election #VoteBlue2024ProtectWomensRights #Presidentialelection #VotingMatters	6	0	0	1	0.4019	positive
1850213203059315033	ModernSilenceDG	'Democrats really out here sharing a doctored photo trying to convince people that @KamalaHarris really did work at McDonald’s 🤣 #McDonalds #Harris'	2024-10-26 16:29:37	democrats really sharing doctored photo trying convince people kamalaharris work mcdonalds mc donalds harris	#McDonalds #Harris	0	0	0	0	0.624	positive
1850213271908860229	TSFOX1951	'#news #kamala #harris https://t.co/s3GulCCUCw #AmericasBestPicsAndVideos'	2024-10-26 16:29:53	news kamala harris americas best pics videos	#news #kamala #harris #AmericasBestPicsAndVideos	0	0	0	0	0.6369	positive
1850213299348213854	GlennBackes	'WATCH 1 MINUTE! Direct. Powerful. Personal. #Latino #Vote #Harris #Trump'	2024-10-26 16:30:00	watch minute direct powerful personal latino vote harris trump	#Latino #Vote #Harris #Trump	1	0	0	0	0.4215	positive
1850213345212702748	Toni85814074	'“I’d rather stand with God, because God has his hand on Trump, Comrade Kamala!” #MAGA #MAHA #USA #Texas #Oklahoma #Pennsylvania #Iowa #Ohio #Colorado #Mississippi #Georgia #Virginia #WestVirginia #NorthCarolina #Tennessee #Florida #Utah #NewYork #UnitedStates #NorthAmerica'	2024-10-26 16:30:11	id rather stand god hand trump comrade kamala g h u texas oklahoma pennsylvania iowa ohio colorado mississippi georgia virginia west north carolina tennessee florida utah new york united states america	#MAGA #MAHA #USA #Texas #Oklahoma #Pennsylvania #Iowa #Ohio #Colorado #Mississippi #Georgia #Virginia #WestVirginia #NorthCarolina #Tennessee #Florida #Utah #NewYork #UnitedStates #NorthAmerica	0	0	0	0	0.7964	positive
1850213648846713257	CirkaNews	'The 2024 U.S. presidential race is exceptionally close, with Vice President #KamalaHarris and former President Donald #Trump polling at a near tie with roughly 48% each in popular support. Trump currently has a slight advantage in key battleground states like #Pennsylvania, https://t.co/1Uvci2AVl3'	2024-10-26 16:31:23	us presidential race exceptionally close vice president kamala harris former donald trump polling near tie roughly popular support currently slight advantage key battleground states like pennsylvania	#KamalaHarris #Trump #Pennsylvania	3	0	0	0	0.743	positive
1850213906318324019	Dmitri63226268	'Joe to Elon: WTH? This guy? (interview with Trump) Are you still smoking the same sh!t I gave you last time? #harris #election #usa #comedy #central #whale #what https://t.co/bsg1yVWBuQ'	2024-10-26 16:32:25	joe elon wth guy interview trump still smoking sht gave last time harris election usa comedy central whale	#harris #election #usa #comedy #central #whale #what	0	0	0	0	-0.2263	negative
1850214059586601409	Wokenot_Todd	'Why don't I believe a single word of this? No one, that is afraid of a dictatorship would vote for any Democrat! #Harris hasn't won one single primary vote.'	2024-10-26 16:33:01	dont believe single word one afraid dictatorship would vote democrat harris hasnt primary	#Harris	0	0	0	0	0.0	neutral
1850214114305700167	larsene76	'@TimMurtaugh @JasonMillerinDC This is emblematic of the whole #Harris campaign …. duplicity and subterfuge.'	2024-10-26 16:33:14	timmurtaugh jasonmillerindc emblematic whole harris campaign duplicity subterfuge	#Harris	0	0	0	0	0.0	neutral
1850214302134722803	perlesdamour1	'@BillyM2k Pure Marxist communist #Harris_Walz2024 #harris #Democrats #DemocracyNow'	2024-10-26 16:33:59	billymk pure marxist communist harris walz democrats democracy	#Harris_Walz2024 #harris #Democrats #DemocracyNow	0	0	0	0	0.0	neutral
1850214373391806923	ruhrpottrolli81	'Wenn man wie ich politisch interessiert ist, ist es krass zu beobachten, wie viele Dokumentationen und Reportagen es in den letzten Tagen und Wochen zur bevorstehenden #USWahl gibt. #Election #Election2024 #USElection2024 #Trump #Harris'	2024-10-26 16:34:16	wenn man wie ich politisch interessiert ist es krass zu beobachten viele dokumentationen und reportagen den letzten tagen wochen zur bevorstehenden u wahl gibt election trump harris	#USWahl #Election #Election2024 #USElection2024 #Trump #Harris	0	0	0	0	0.0	neutral
1850214424881029205	gtratwar	'CONFIRMED BY GEORGIA PRESIDENT! GEORGIA CHOSE EUROPE! 🤩 #GeorgiaElections #Georgia #Gvote24 #Europe #Russia #Putin #Harris #Dictatorship #Democrcy #Trump #USAelections2024'	2024-10-26 16:34:28	confirmed georgia president chose europe elections gvote russia putin harris dictatorship democrcy trump u aelections	#GeorgiaElections #Georgia #Gvote24 #Europe #Russia #Putin #Harris #Dictatorship #Democrcy #Trump #USAelections2024	17	1	0	1	0.0	neutral
1850214781430767973	Danse_La_Vie	'On va avoir le droit à la censure si jamais #harris gagne. https://t.co/yZeYgXx1Rg'	2024-10-26 16:35:53	va avoir le droit la censure si jamais harris gagne	#harris	0	0	0	0	0.0	neutral
1850214816918516092	burleso10	'Fetterman calls Trump's support in Pennsylvania 'astonishing': 'You can see the intensity' #DonaldTrump #Pennsylvania #Presidentialelection https://t.co/aqwAcY6rQb'	2024-10-26 16:36:02	fetterman calls trumps support pennsylvania astonishing see intensity donald trump presidentialelection	#DonaldTrump #Pennsylvania #Presidentialelection	0	0	0	0	0.4019	positive
1850214833167241553	stretch1	'Black Voters Explain Why They Aren't Supporting Kamala https://t.co/95IUxYih8W via @YouTube. That’s all the demoRAT party &amp; “especially” #Harris does is look 2“buy” votes by saying anythin(identity politics and so on)-that’s been the democrat party “thing” for last 20yrs #Harris'	2024-10-26 16:36:06	black voters explain arent supporting kamala via youtube thats demorat party amp especially harris look buy votes saying anythinidentity politics onthats democrat thing last yrs	#Harris #Harris	0	0	0	0	0.0757	positive
